time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,-7.790737272895057e-07,-9.130392316888208e-08,10.002908683370228,6.282975624433137,0.0006050733556461907,0.0,-6.199809245265646e-05,-1.2550880971928471e-05,0.09695206777725159,-0.01160732409954889,0.02503218918787908,0.0,434.7379930888471,436.8299558990287,436.5629613239887,435.59361367270725
0.12000000000000001,-1.92203874575371e-05,-6.322818691208295e-06,10.007727340274048,6.282483932023791,0.0021189724348884553,0.0,-0.0006767737671524628,-0.00024342392797110788,0.06367256182255773,-0.0021199922721892124,0.025627565910483874,0.0,392.42124117445013,392.4766948398978,391.820345515567,392.70131379413203
0.18,-0.00011116260615596227,-3.63415055788853e-05,10.015282722508008,6.282460384842995,0.003386907626139468,0.0,-0.002538237922645223,-0.0007649340019943786,0.18816001387734804,0.0028565241857551812,0.01014496976185176,0.0,445.12354405512855,443.8549456523645,444.53212592070804,444.9396707502505
0.23999999999999996,-0.0003318423259893084,-9.579980894675893e-05,10.028478505105511,6.282630869692923,0.0038248940380922747,0.0,-0.004868959959197786,-0.0012004865997744941,0.25168683297456357,0.0028111750551837603,0.0008964221874146546,0.0,425.00373679107537,424.2103472923091,425.8318859037108,425.8279502025759
0.3,-0.000700269440577552,-0.00017704236113088407,10.0457966625395,0.0004734016918064299,0.00396368126971236,0.0,-0.007421463773865981,-0.0014396603671424106,0.3255663342800383,0.03637889519134241,0.00500597138409248,0.0,428.3176652009159,428.6669193232344,427.3061632415084,430.1577179245095
0.36000000000000004,-0.001226908650670651,-0.0002454395519631909,10.067929647913813,0.0028666885905757056,0.0039624749668742965,0.0,-0.010150640390467312,-0.0006106190532103786,0.41217163645259836,0.046114928473354175,-0.012679464540009205,0.0,433.97486269354016,432.4881009285647,431.8726905806547,432.6938244473948
0.4200000000000001,-0.0019251826989070385,-0.00020255628815221325,10.09832770656087,0.006139930015118367,0.003292237355434935,0.0,-0.013042643880410773,0.0023920198490690985,0.6010151819280377,0.06758530456017993,-0.008311927481257742,0.0,463.6623362895104,464.0054107326784,464.2112298209261,465.8944651111397
0.48000000000000015,-0.002776063840297554,8.81344796534789e-05,10.138091296853478,0.009830584909773066,0.0027425065176851504,0.0,-0.015264617728136708,0.007710045404153392,0.7243643289870433,0.04518868865189303,-0.010919360648641858,0.0,443.7856888351523,443.5717666585187,446.5264083752689,444.698443238962
0.5400000000000001,-0.003740160055340556,0.0007405293928592081,10.182256576529426,0.01262432318601725,0.0021892818610167453,0.0,-0.01681729031800789,0.014285981360067973,0.7477938516624546,0.049176166728274656,-0.0060223362803617725,0.0,412.3632192705271,412.7956330427473,412.1506785780903,412.5043730659786
0.6000000000000002,-0.004792759394515478,0.0018677885704175845,10.229957416287666,0.01578229298977174,0.0018971592128949055,0.0,-0.01823626137808067,0.023598232028643605,0.8421646503906339,0.05877580758355367,-0.0026558001145772442,0.0,435.53780345338924,435.8193254504392,435.3573810257713,436.1615932666177
0.6600000000000003,-0.005930801128080048,0.0036704407134717527,10.2863626739446,0.01896154466491584,0.0015071484933653068,0.0,-0.01966788587210839,0.03688134035078698,1.0378464957938862,0.03772237891200406,-0.015581508072230753,0.0,467.46266656148015,466.4545823500545,467.9498366332364,466.30992607876493
0.7200000000000003,-0.007139730165942411,0.006302181619324114,10.352585192891981,0.02083072407227249,0.0005815956572821079,0.0,-0.02053034408320568,0.051066759419200344,1.1694405105721124,0.012870026461941745,-0.015116442006165878,0.0,447.611755154486,447.64969754661405,449.27396893291683,447.25496422643823
0.7800000000000004,-0.008379875725892105,0.00977278275424751,10.42447580170091,0.02167071277261101,6.283149162167145,0.0,-0.020736209543252074,0.06469576558863631,1.226851065691705,0.016168631421661646,-0.002072151907732942,0.0,424.41854760671504,425.5366183090505,424.09902153513036,424.3821198424064
0.8400000000000004,-0.009622680011502115,0.014131222949540828,10.502248866538492,0.022372180551764487,6.282838561936526,0.0,-0.020668115663913036,0.08067412442841573,1.3654264837489152,0.0007568113288874481,-0.01224909599486302,0.0,451.5679377022633,450.7464175973817,450.52165254844533,449.2738320536983
0.9000000000000005,-0.010851482714522302,0.01951247695944974,10.590666086663367,0.022697388322530543,6.281591727357416,0.0,-0.020187605425330404,0.09871825690674738,1.5815394262042457,0.013412490034959777,-0.049248472416077216,0.0,476.0655002579359,473.2261101217148,473.22758566462466,474.20058267784043
0.9600000000000005,-0.012006460534798234,0.026035503967762632,10.694152205519902,0.02369802007800903,6.278496968046049,0.0,-0.01792134981537197,0.11882377004860022,1.8675713413466495,0.022515748750311575,-0.056702211137405374,0.0,494.57752549804565,494.02685051490886,495.02289834875097,495.69214659147735
1.0200000000000005,-0.012948610937496026,0.03376441578779774,10.81357080393757,0.02534008947676636,6.274758624825363,0.0,-0.013049318017672472,0.13898262752976728,2.112620833496443,0.03563618821225422,-0.07690909870755949,0.0,484.78934405651336,483.26613055271577,483.59699343323865,484.5843205242428
1.0800000000000005,-0.013510300456718837,0.04271664175121194,10.946506907711761,0.027105298237549924,6.269770858911045,0.0,-0.005117864211367538,0.15964895307048257,2.3181760589595988,0.012548320609529848,-0.10000523511754246,0.0,473.6850354213823,471.9002261491354,475.0136857177746,473.2401495805097
1.1400000000000006,-0.013484206700740563,0.05292008939423227,11.09086427333792,0.028027855748589126,6.263554054040711,0.0,0.0066719903151089225,0.18055045571542414,2.4933563275124575,0.02050363261546468,-0.11202757927916782,0.0,465.54203936500863,464.59150201058117,465.20213929113896,465.82451561611305
